City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Zabaykalsk,RU,49.6333,117.3167,29.12,33,100,13.58,overcast clouds
301,Daru,PG,-9.0763,143.2092,75.43,89,75,4.25,broken clouds
302,Alice Springs,AU,-23.7,133.8833,50.0,76,48,2.3,scattered clouds
303,Novoderevyankovskaya,RU,46.3231,38.7472,47.43,87,100,8.55,light rain
304,Swan Hill,AU,-35.3378,143.5544,46.62,78,4,7.18,clear sky
305,Buinsk,RU,54.95,48.2833,39.2,100,90,6.71,moderate rain
306,Alghero,IT,40.5589,8.3181,64.4,82,0,8.05,clear sky
307,Lakes Entrance,AU,-37.8811,147.981,50.0,81,100,1.01,overcast clouds
308,Sept-Iles,CA,50.2001,-66.3821,57.2,51,90,5.75,overcast clouds
309,Atar,MR,20.5169,-13.0499,96.03,11,27,12.35,scattered clouds
310,Ahipara,NZ,-35.1667,173.1667,62.51,91,8,2.33,clear sky
311,Point Pedro,LK,9.8167,80.2333,82.72,74,7,11.61,clear sky
312,Moree,AU,-29.4667,149.85,42.8,65,0,6.91,clear sky
313,Fernie,CA,49.5,-115.0687,32.0,80,100,4.61,overcast clouds
314,Lompoc,US,34.6391,-120.4579,53.6,76,100,11.5,overcast clouds
315,Meadow Lake,US,34.8014,-106.5436,72.0,10,20,4.61,few clouds
316,Marmora,IT,44.4583,7.094,50.0,87,90,8.05,moderate rain
317,Bandar-E Lengeh,IR,26.5579,54.8807,82.4,36,37,4.61,scattered clouds
318,Den Helder,NL,52.9599,4.7593,43.0,65,20,10.36,few clouds
319,Port Hedland,AU,-20.3167,118.5667,80.6,89,87,5.75,overcast clouds
320,Marrakesh,MA,31.6315,-8.0083,80.6,32,40,6.91,scattered clouds
321,Tomatlan,MX,19.9333,-105.25,88.88,36,10,8.34,clear sky
322,Lahat,ID,-3.8,103.5333,73.02,97,99,2.64,overcast clouds
323,Pocoes,BR,-14.5297,-40.3653,78.1,54,61,8.84,broken clouds
324,Tura,IN,25.5198,90.2201,78.12,41,34,6.42,scattered clouds
325,Narsaq,GL,60.9167,-46.05,55.4,15,20,20.71,few clouds
326,Morden,CA,49.1919,-98.1014,53.6,46,79,11.5,broken clouds
327,Umm Kaddadah,SD,13.6017,26.6876,80.1,11,67,12.41,broken clouds
328,Vereeniging,ZA,-26.6731,27.9261,72.0,44,0,1.92,clear sky
329,Tongling,CN,30.95,117.7833,55.38,95,100,2.13,light rain
330,Nishihara,JP,26.1842,127.7558,69.8,68,20,11.5,few clouds
331,Sirur,IN,18.8333,74.3833,84.09,34,25,5.03,scattered clouds
332,Strezhevoy,RU,60.7333,77.5889,39.2,70,90,8.95,light rain
333,San Angelo,US,31.4638,-100.437,84.0,21,1,20.71,clear sky
334,Sidrolandia,BR,-20.9319,-54.9614,89.6,45,75,10.36,broken clouds
335,Bosaso,SO,11.2842,49.1816,80.6,71,5,3.13,clear sky
336,Sorata,BO,-15.7667,-68.6333,53.96,77,75,9.1,broken clouds
337,Sanbu,CN,33.4594,119.1453,54.55,98,100,4.27,light rain
338,Fort Frances,CA,48.5999,-93.4003,44.01,87,90,9.22,mist
339,Allonnes,FR,47.9674,0.1581,46.4,61,0,11.5,clear sky
340,Biak,ID,-0.9131,122.8766,76.35,83,98,2.68,overcast clouds
341,Kindersley,CA,51.4668,-109.1682,33.8,64,90,17.27,overcast clouds
342,Cockburn Town,TC,21.4612,-71.1419,78.8,53,40,11.5,scattered clouds
343,Cayenne,GF,4.9333,-52.3333,87.8,66,75,11.5,broken clouds
344,Bonavista,CA,48.6499,-53.1147,36.0,100,100,8.05,light rain
345,Sabha,LY,27.0377,14.4283,82.13,12,61,13.27,broken clouds
